Taxa de reprovação em um ano por curso e semestre,,,,,,
"As matrículas de um curso são as matrículas realizadas pelos alunos do curso em diciplinas de qualquer unidade acadêmica.
As matrículas incluem apenas aquelas cursadas até o final. Matrículas ainda em curso, trancadas, canceladas
ou quando o aluno abandona e é reprovado por faltas não estão incluídas.",,,,,,
,2013.1,,,2013.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13301100 - ADMINISTRAÇÃO - D,96,1417,7%,130,1365,10%
13301200 - ADMINISTRAÇÃO - N,50,580,9%,79,638,12%
31301200 - ADMINISTRAÇÃO - N,74,1008,7%,32,875,4%
91402100 - AGRONOMIA - D,166,1448,11%,241,1356,18%
15101100 - ARQUITETURA E URBANISMO - D,26,608,4%,46,756,6%
13317100 - ARTE E MÍDIA - D,20,477,4%,38,600,6%
14102100 - CIÊNCIA DA COMPUTAÇÃO - D,419,2319,18%,506,2359,21%
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M,4,85,5%,2,65,3%
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N,4,93,4%,0,80,0%
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M,4,82,5%,0,47,0%
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N,4,136,3%,5,98,5%
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M,1,35,3%,3,27,11%
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N,0,65,0%,0,57,0%
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D,74,678,11%,59,632,9%
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D,47,732,6%,58,704,8%
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M,62,435,14%,51,457,11%
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N,79,674,12%,51,744,7%
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N,70,657,11%,61,597,10%
31360200 - CIÊNCIAS CONTÁBEIS - N,43,805,5%,64,920,7%
13304100 - CIÊNCIAS ECONÔMICAS - M,85,600,14%,66,468,14%
13304200 - CIÊNCIAS ECONÔMICAS - N,68,430,16%,64,458,14%
13305150 - CIÊNCIAS SOCIAIS (BAC) - D,30,224,13%,10,172,6%
13305250 - CIÊNCIAS SOCIAIS (BAC) - N,0,79,0%,1,56,2%
13305110 - CIÊNCIAS SOCIAIS (LIC) - D,2,71,3%,3,44,7%
,2013.1,,,2013.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13305210 - CIÊNCIAS SOCIAIS (LIC) - N,27,342,8%,36,421,9%
71305210 - CIÊNCIAS SOCIAIS (LIC) - N,35,755,5%,32,613,5%
13306100 - COMUNICAÇÃO SOCIAL - D,9,413,2%,3,453,1%
13306200 - COMUNICAÇÃO SOCIAL - N,13,369,4%,5,458,1%
11104120 - DESIGN - D,67,1111,6%,78,1124,7%
31350100 - DIREITO - M,4,1334,0%,6,1361,0%
31350200 - DIREITO - N,5,1457,0%,4,1169,0%
31350300 - DIREITO - V,0,1381,0%,5,1377,0%
12204100 - ENFERMAGEM - D,59,1580,4%,54,1394,4%
21204100 - ENFERMAGEM - D,45,1682,3%,68,1581,4%
51204100 - ENFERMAGEM - D,85,2193,4%,98,2164,5%
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D,130,913,14%,116,881,13%
15121100 - ENGENHARIA AGRÍCOLA - D,132,774,17%,98,601,16%
91130100 - ENGENHARIA AMBIENTAL - D,256,1335,19%,242,1395,17%
15122100 - ENGENHARIA CIVIL - D,322,2744,12%,330,2695,12%
15125100 - ENGENHARIA DE ALIMENTOS - D,150,536,28%,114,528,22%
91125100 - ENGENHARIA DE ALIMENTOS - D,183,1193,15%,247,1212,20%
71131100 - ENGENHARIA DE BIOSSISTEMAS - D,152,760,20%,99,644,15%
11126100 - ENGENHARIA DE MATERIAIS - D,231,1036,22%,168,877,19%
15127100 - ENGENHARIA DE MINAS - D,188,918,20%,121,879,14%
11135100 - ENGENHARIA DE PETRÓLEO - D,154,1062,15%,121,973,12%
11133100 - ENGENHARIA DE PRODUÇÃO - D,132,941,14%,77,926,8%
71133100 - ENGENHARIA DE PRODUÇÃO - D,89,819,11%,62,770,8%
14123100 - ENGENHARIA ELÉTRICA,716,3893,18%,721,4289,17%
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D,1,47,2%,2,34,6%
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D,11,294,4%,3,179,2%
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) -,1,47,2%,1,31,3%
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO,2,114,2%,1,95,1%
,2013.1,,,2013.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
41403100 - ENGENHARIA FLORESTAL - D,75,993,8%,46,775,6%
11124100 - ENGENHARIA MECÂNICA - D,299,1589,19%,274,1647,17%
11128100 - ENGENHARIA QUÍMICA - D,116,1176,10%,89,1105,8%
11134100 - ESTATÍSTICA - D,54,209,26%,39,153,25%
51203100 - FARMÁCIA - D,166,2208,8%,130,2122,6%
13314250 - FILOSOFIA (BAC) - N,53,154,34%,25,130,19%
13314210 - FILOSOFIA (LIC) - N,47,154,31%,14,114,12%
11105150 - FÍSICA (BAC) - D,44,105,42%,5,67,7%
11105110 - FÍSICA (LIC) - D,42,94,45%,20,63,32%
51105110 - FÍSICA (LIC) - D,50,262,19%,34,189,18%
21105210 - FÍSICA (LIC) - N,77,217,35%,41,141,29%
51105210 - FÍSICA (LIC) - N,33,159,21%,37,131,28%
13316110 - GEOGRAFIA (LIC) - D,44,553,8%,22,512,4%
13316210 - GEOGRAFIA (LIC) - N,25,582,4%,31,555,6%
21316110 - GEOGRAFIA (LICENCIATURA) - M,79,587,13%,33,684,5%
21316210 - GEOGRAFIA (LICENCIATURA) - N,32,593,5%,36,568,6%
13309150 - HISTÓRIA (BAC) - M,2,51,4%,5,45,11%
13309250 - HISTÓRIA (BAC) - N,7,38,18%,3,32,9%
13309110 - HISTÓRIA (LIC) - M,3,442,1%,10,431,2%
21309110 - HISTÓRIA (LIC) - M,72,671,11%,102,553,18%
13309210 - HISTÓRIA (LIC) - N,14,476,3%,18,510,4%
21309210 - HISTÓRIA (LIC) - N,67,574,12%,105,704,15%
71315110 - INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D,24,791,3%,29,582,5%
13310214 - LETRAS - ESPANHOL (LICENCIATURA) N,7,91,8%,16,138,12%
13310115 - LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D,12,89,13%,3,72,4%
13310112 - LETRAS - LÍNGUA E LIT. FRANCESA - D,2,11,18%,0,9,0%
13310113 - LETRAS - LÍNGUA E LIT. INGLESA - D,1,48,2%,0,34,0%
13310213 - LETRAS - LÍNGUA E LIT. INGLESA - N,1,9,11%,0,5,0%
,2013.1,,,2013.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13310111 - LETRAS - LÍNGUA E LIT. PORTUGUESA - D,5,180,3%,2,125,2%
13310211 - LETRAS - LÍNGUA E LIT. PORTUGUESA - N,9,220,4%,12,198,6%
13310116 - LETRAS - LÍNGUA INGLESA (LIC) - D,13,180,7%,13,166,8%
21310116 - LETRAS - LÍNGUA INGLESA (LIC) - D,11,250,4%,9,217,4%
21310110 - LETRAS - LÍNGUA PORTUGUESA (LIC) - M,7,319,2%,7,275,3%
13310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N,18,130,14%,26,187,14%
21310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N,4,269,1%,19,346,5%
21310111 - LETRAS - LÍNGUA VERNÁCULA (LIC) - M,2,98,2%,1,50,2%
21310211 - LETRAS - LÍNGUA VERNÁCULA (LIC) - N,0,206,0%,1,123,1%
21310112 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - M,3,83,4%,0,50,0%
21310212 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - N,3,125,2%,1,78,1%
13310110 - LETRAS- LÍNGUA PORTUGUESA (LIC) - D,23,271,8%,15,242,6%
11107150 - MATEMÁTICA (BAC) - D,16,89,18%,9,81,11%
11107110 - MATEMÁTICA (LIC) - D,24,172,14%,22,138,16%
21107110 - MATEMÁTICA (LIC) - D,57,414,14%,53,378,14%
51107110 - MATEMÁTICA (LIC) - D,45,242,19%,39,168,23%
11107210 - MATEMÁTICA (LIC) - N,59,241,24%,14,185,8%
51107210 - MATEMÁTICA (LIC) - N,59,270,22%,37,217,17%
12205100 - MEDICINA,18,2259,1%,16,2310,1%
21205100 - MEDICINA,24,1316,2%,1,1024,0%
41410100 - MEDICINA VETERINÁRIA - D,148,2335,6%,190,2383,8%
15108100 - METEOROLOGIA - D,64,165,39%,39,116,34%
13311150 - MÚSICA (BAC) - D,2,209,1%,3,204,1%
13311110 - MÚSICA (LIC) - D,3,353,1%,11,350,3%
51206100 - NUTRIÇÃO - D,92,1316,7%,94,1507,6%
51206200 - NUTRIÇÃO - N,18,753,2%,14,607,2%
41207100 - ODONTOLOGIA - D,131,1780,7%,134,1907,7%
13312110 - PEDAGOGIA (LIC) - M,33,808,4%,34,740,5%
,2013.1,,,2013.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
