Taxa de reprovação em um ano por curso e semestre,,,,,,
"As matrículas de um curso são as matrículas realizadas pelos alunos do curso em diciplinas de qualquer unidade acadêmica.
As matrículas incluem apenas aquelas cursadas até o final. Matrículas ainda em curso, trancadas, canceladas
ou quando o aluno abandona e é reprovado por faltas não estão incluídas.",,,,,,
,2014.1,,,2014.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13301100 - ADMINISTRAÇÃO - D,93,1338,7%,91,1296,7%
13301200 - ADMINISTRAÇÃO - N,46,547,8%,50,547,9%
31301200 - ADMINISTRAÇÃO - N,50,939,5%,17,849,2%
91402100 - AGRONOMIA - D,250,1394,18%,261,1424,18%
15101100 - ARQUITETURA E URBANISMO - D,35,663,5%,68,860,8%
13317100 - ARTE E MÍDIA - D,39,567,7%,62,628,10%
14102100 - CIÊNCIA DA COMPUTAÇÃO - D,533,2439,22%,516,2375,22%
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M,3,20,15%,0,6,0%
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N,2,50,4%,2,35,6%
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M,0,8,0%,0,0,0%
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N,0,67,0%,0,42,0%
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M,2,16,12%,0,13,0%
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N,0,51,0%,0,47,0%
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D,77,766,10%,60,640,9%
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D,77,786,10%,27,633,4%
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M,63,620,10%,45,563,8%
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N,64,673,10%,82,708,12%
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N,80,644,12%,21,575,4%
31360200 - CIÊNCIAS CONTÁBEIS - N,31,814,4%,39,842,5%
13304100 - CIÊNCIAS ECONÔMICAS - M,60,532,11%,39,395,10%
13304200 - CIÊNCIAS ECONÔMICAS - N,40,380,11%,86,425,20%
13305150 - CIÊNCIAS SOCIAIS (BAC) - D,8,225,4%,16,157,10%
13305250 - CIÊNCIAS SOCIAIS (BAC) - N,1,47,2%,1,25,4%
13305110 - CIÊNCIAS SOCIAIS (LIC) - D,1,20,5%,1,10,10%
,2014.1,,,2014.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13305210 - CIÊNCIAS SOCIAIS (LIC) - N,48,362,13%,25,425,6%
71305210 - CIÊNCIAS SOCIAIS (LIC) - N,53,650,8%,43,571,8%
13306100 - COMUNICAÇÃO SOCIAL - D,14,405,3%,31,464,7%
13306200 - COMUNICAÇÃO SOCIAL - N,5,397,1%,40,489,8%
11104120 - DESIGN - D,70,974,7%,80,921,9%
31350100 - DIREITO - M,14,1377,1%,8,1376,1%
31350200 - DIREITO - N,19,1463,1%,7,1184,1%
31350300 - DIREITO - V,5,1406,0%,6,1450,0%
12204100 - ENFERMAGEM - D,39,1181,3%,96,1040,9%
21204100 - ENFERMAGEM - D,41,1392,3%,36,1361,3%
51204100 - ENFERMAGEM - D,94,2009,5%,48,1903,3%
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D,195,989,20%,137,824,17%
15121100 - ENGENHARIA AGRÍCOLA - D,114,732,16%,100,551,18%
91130100 - ENGENHARIA AMBIENTAL - D,196,1350,15%,184,1392,13%
15122100 - ENGENHARIA CIVIL - D,275,3079,9%,320,2986,11%
91122100 - ENGENHARIA CIVIL - D,0,0,0%,20,189,11%
15125100 - ENGENHARIA DE ALIMENTOS - D,121,634,19%,118,603,20%
91125100 - ENGENHARIA DE ALIMENTOS - D,215,1258,17%,222,1259,18%
71131100 - ENGENHARIA DE BIOSSISTEMAS - D,118,751,16%,79,562,14%
11126100 - ENGENHARIA DE MATERIAIS - D,157,981,16%,213,868,25%
15127100 - ENGENHARIA DE MINAS - D,175,927,19%,141,819,17%
11135100 - ENGENHARIA DE PETRÓLEO - D,135,999,14%,97,847,11%
11133100 - ENGENHARIA DE PRODUÇÃO - D,125,1063,12%,129,942,14%
71133100 - ENGENHARIA DE PRODUÇÃO - D,110,985,11%,89,845,11%
14123100 - ENGENHARIA ELÉTRICA,719,4453,16%,716,4762,15%
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D,0,20,0%,0,0,0%
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D,0,48,0%,0,0,0%
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) -,0,11,0%,0,0,0%
,2014.1,,,2014.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO,0,24,0%,0,0,0%
41403100 - ENGENHARIA FLORESTAL - D,68,905,8%,72,772,9%
11124100 - ENGENHARIA MECÂNICA - D,210,1571,13%,270,1621,17%
11128100 - ENGENHARIA QUÍMICA - D,131,1186,11%,82,1067,8%
11134100 - ESTATÍSTICA - D,47,175,27%,42,128,33%
51203100 - FARMÁCIA - D,156,2044,8%,130,1957,7%
13314250 - FILOSOFIA (BAC) - N,52,148,35%,17,91,19%
13314210 - FILOSOFIA (LIC) - N,59,190,31%,31,147,21%
11105150 - FÍSICA (BAC) - D,32,112,29%,19,101,19%
11105110 - FÍSICA (LIC) - D,25,74,34%,17,55,31%
51105110 - FÍSICA (LIC) - D,62,268,23%,21,196,11%
21105210 - FÍSICA (LIC) - N,78,203,38%,45,141,32%
51105210 - FÍSICA (LIC) - N,32,139,23%,26,130,20%
13316110 - GEOGRAFIA (LIC) - D,51,579,9%,35,484,7%
13316210 - GEOGRAFIA (LIC) - N,55,639,9%,32,529,6%
21316110 - GEOGRAFIA (LICENCIATURA) - M,62,573,11%,34,544,6%
21316210 - GEOGRAFIA (LICENCIATURA) - N,33,548,6%,37,481,8%
13309150 - HISTÓRIA (BAC) - M,1,17,6%,2,5,40%
13309250 - HISTÓRIA (BAC) - N,3,17,18%,1,7,14%
13309110 - HISTÓRIA (LIC) - M,20,500,4%,20,454,4%
21309110 - HISTÓRIA (LIC) - M,74,693,11%,74,578,13%
13309210 - HISTÓRIA (LIC) - N,18,415,4%,31,492,6%
21309210 - HISTÓRIA (LIC) - N,84,535,16%,54,622,9%
71315110 - INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D,49,662,7%,20,539,4%
13310214 - LETRAS - ESPANHOL (LICENCIATURA) N,12,120,10%,8,170,5%
13310115 - LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D,10,114,9%,7,104,7%
13310112 - LETRAS - LÍNGUA E LIT. FRANCESA - D,0,3,0%,0,1,0%
13310113 - LETRAS - LÍNGUA E LIT. INGLESA - D,0,16,0%,0,10,0%
,2014.1,,,2014.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13310213 - LETRAS - LÍNGUA E LIT. INGLESA - N,1,4,25%,0,2,0%
13310111 - LETRAS - LÍNGUA E LIT. PORTUGUESA - D,2,68,3%,0,28,0%
13310211 - LETRAS - LÍNGUA E LIT. PORTUGUESA - N,2,135,1%,4,117,3%
13310116 - LETRAS - LÍNGUA INGLESA (LIC) - D,21,240,9%,11,180,6%
21310116 - LETRAS - LÍNGUA INGLESA (LIC) - D,19,334,6%,22,284,8%
21310110 - LETRAS - LÍNGUA PORTUGUESA (LIC) - M,19,404,5%,8,340,2%
13310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N,11,159,7%,11,223,5%
21310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N,4,336,1%,14,472,3%
21310111 - LETRAS - LÍNGUA VERNÁCULA (LIC) - M,0,22,0%,0,3,0%
21310211 - LETRAS - LÍNGUA VERNÁCULA (LIC) - N,1,90,1%,0,19,0%
21310112 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - M,1,8,12%,0,8,0%
21310212 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - N,1,44,2%,1,5,20%
13310110 - LETRAS- LÍNGUA PORTUGUESA (LIC) - D,39,324,12%,4,274,1%
11107150 - MATEMÁTICA (BAC) - D,29,106,27%,9,70,13%
11107110 - MATEMÁTICA (LIC) - D,45,197,23%,32,167,19%
21107110 - MATEMÁTICA (LIC) - D,56,440,13%,66,420,16%
51107110 - MATEMÁTICA (LIC) - D,63,236,27%,37,218,17%
11107210 - MATEMÁTICA (LIC) - N,68,247,28%,43,182,24%
51107210 - MATEMÁTICA (LIC) - N,62,258,24%,25,184,14%
12205100 - MEDICINA,9,2256,0%,29,2117,1%
21205100 - MEDICINA,0,1060,0%,1,726,0%
41410100 - MEDICINA VETERINÁRIA - D,180,2357,8%,201,2293,9%
15108100 - METEOROLOGIA - D,65,183,36%,59,157,38%
13311150 - MÚSICA (BAC) - D,3,180,2%,8,165,5%
13311110 - MÚSICA (LIC) - D,12,350,3%,9,338,3%
51206100 - NUTRIÇÃO - D,138,1480,9%,85,1590,5%
51206200 - NUTRIÇÃO - N,4,364,1%,6,262,2%
41207100 - ODONTOLOGIA - D,106,1861,6%,158,1893,8%
,2014.1,,,2014.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13312110 - PEDAGOGIA (LIC) - M,32,737,4%,15,637,2%
13312210 - PEDAGOGIA (LIC) - N,15,423,4%,33,420,8%
21312110 - PEDAGOGIA (LICENCIATURA) - M,11,841,1%,3,808,0%
21312210 - PEDAGOGIA (LICENCIATURA) - N,13,685,2%,12,804,1%
12208200 - PSICOLOGIA - N,26,1367,2%,15,1442,1%
51109110 - QUÍMICA (LIC) - D,82,504,16%,55,385,14%
21109210 - QUÍMICA (LIC) - N,52,462,11%,34,417,8%
51109210 - QUÍMICA (LIC) - N,58,298,19%,42,228,18%
31340100 - SERVIÇO SOCIAL - M,22,904,2%,30,693,4%
71420100 - TECNOLOGIA EM AGROECOLOGIA - D,63,845,7%,104,717,15%
71318200 - TECNOLOGIA EM GESTÃO PÚBLICA - N,56,505,11%,26,435,6%
