Curso;Matrículas.08;Reprovações.08;Percentual.08
ADMINISTRAÇÃO;4009;209;5.2
AGRONOMIA;1540;174;11.3
ARTE E MÍDIA;1029;22;2.1
CIÊNCIA DA COMPUTAÇÃO;3422;336;9.8
CIÊNCIAS;2441;244;10
CIÊNCIAS BIOLÓGICAS;1966;196;10
CIÊNCIAS CONTÁBEIS;3239;248;7.7
CIÊNCIAS ECONÔMICAS;2012;218;10.8
CIÊNCIAS SOCIAIS;1854;116;6.3
DESENHO INDUSTRIAL;842;89;10.6
DESIGN;874;68;7.8
DIREITO;7020;23;0.3
ENFERMAGEM;3933;54;1.4
ENGENHARIA AGRÍCOLA;1055;195;18.5
ENGENHARIA AMBIENTAL;1022;135;13.2
ENGENHARIA CIVIL;3730;595;16
ENGENHARIA DE ALIMENTOS;954;142;14.9
ENGENHARIA DE MATERIAIS;1779;315;17.7
ENGENHARIA DE MINAS;997;190;19.1
ENGENHARIA DE PRODUÇÃO;1391;174;12.5
ENGENHARIA ELÉTRICA;6688;921;13.8
ENGENHARIA FLORESTAL;1483;179;12.1
ENGENHARIA MECÂNICA;2797;490;17.5
ENGENHARIA QUÍMICA;1740;159;9.1
FARMÁCIA;1305;69;5.3
FÍSICA;758;140;18.5
GEOGRAFIA;2454;270;11
HISTÓRIA;5009;435;8.7
LETRAS;5258;287;5.5
MATEMÁTICA;1540;216;14
MEDICINA;5561;54;1
MEDICINA VETERINÁRIA;3850;252;6.5
METEOROLOGIA;513;130;25.3
PEDAGOGIA;4444;159;3.6
QUÍMICA;953;110;11.5
