Curso;Reprovações.1;Matrículas.1;Porcentagem.1;Reprovações.2;Matrículas.2;Porcentagem.2;Ano
ADMINISTRAÇÃO;69;1808;3.8;149;1952;7.6;2007
AGRONOMIA;0;0;0;56;624;9;2007
ARTE E MÍDIA;7;471;1.5;20;538;3.7;2007
CIÊNCIA DA COMPUTAÇÃO;128;1485;8.6;152;1569;9.7;2007
CIÊNCIAS;121;1303;9.3;120;1183;10.1;2007
CIÊNCIAS BIOLÓGICAS (LIC);80;449;17.8;83;715;11.6;2007
CIÊNCIAS CONTÁBEIS;71;1620;4.4;74;1736;4.3;2007
CIÊNCIAS ECONÔMICAS;77;1046;7.4;49;1007;4.9;2007
CIÊNCIAS SOCIAIS;35;822;4.3;44;864;5.1;2007
DESENHO INDUSTRIAL;30;565;5.3;37;503;7.4;2007
DESIGN;22;255;8.6;19;331;5.7;2007
DIREITO;16;3819;0.4;0;3679;0;2007
ENFERMAGEM;8;798;1;12;1246;1;2007
ENGENHARIA AGRÍCOLA;81;436;18.6;73;311;23.5;2007
ENGENHARIA AMBIENTAL;0;0;0;11;227;4.8;2007
ENGENHARIA CIVIL;237;1678;14.1;297;1739;17.1;2007
ENGENHARIA DE ALIMENTOS;0;0;0;30;251;12;2007
ENGENHARIA DE MATERIAIS;89;737;12.1;115;753;15.3;2007
ENGENHARIA DE MINAS;83;421;19.7;102;406;25.1;2007
ENGENHARIA DE PRODUÇÃO;38;401;9.5;43;419;10.3;2007
ENGENHARIA ELÉTRICA;415;3069;13.5;443;3113;14.2;2007
ENGENHARIA FLORESTAL;63;514;12.3;60;562;10.7;2007
ENGENHARIA MECÂNICA;207;1349;15.3;197;1281;15.4;2007
ENGENHARIA QUÍMICA;53;733;7.2;60;667;9;2007
FARMÁCIA;0;0;0;10;270;3.7;2007
FÍSICA (BAC);30;159;18.9;37;167;22.2;2007
FÍSICA (LIC);55;153;35.9;34;210;16.2;2007
GEOGRAFIA (LICENCIATURA);93;1098;8.5;73;1176;6.2;2007
HISTÓRIA;138;2346;5.9;121;2223;5.4;2007
LETRAS;90;2586;3.5;162;2468;6.6;2007
MATEMÁTICA;85;643;13.2;62;592;10.5;2007
MEDICINA;7;2186;0.3;9;2342;0.4;2007
MEDICINA VETERINÁRIA;103;1909;5.4;130;1990;6.5;2007
METEOROLOGIA;53;230;23;53;211;25.1;2007
PEDAGOGIA;70;2087;3.4;153;2116;7.2;2007
QUÍMICA (LIC);84;316;26.6;36;368;9.8;2007
