Curso;Reprovações.1;Matrículas.1;Porcentagem.1;Reprovações.2;Matrículas.2;Porcentagem.2;Ano
ADMINISTRAÇÃO;87;2067;4.2;140;2086;6.7;2002
ARTE E MÍDIA;0;397;0;10;509;2;2002
CIÊNCIA DA COMPUTAÇÃO;107;1421;7.5;166;1506;11;2002
CIÊNCIAS;73;805;9.1;83;1074;7.7;2002
CIÊNCIAS ECONÔMICAS;108;1057;10.2;144;1046;13.8;2002
CIÊNCIAS SOCIAIS;26;554;4.7;27;610;4.4;2002
DESENHO INDUSTRIAL;38;699;5.4;38;691;5.5;2002
DESIGN;0;0;0;0;7;0;2002
DIREITO;3;2980;0.1;7;2992;0.2;2002
ENGENHARIA AGRÍCOLA;80;451;17.7;80;449;17.8;2002
ENGENHARIA CIVIL;265;2058;12.9;264;1999;13.2;2002
ENGENHARIA DE MATERIAIS;144;807;17.8;144;856;16.8;2002
ENGENHARIA DE MINAS;54;358;15.1;54;374;14.4;2002
ENGENHARIA ELÉTRICA;274;2746;10;334;2871;11.6;2002
ENGENHARIA FLORESTAL;44;368;12;28;364;7.7;2002
ENGENHARIA MECÂNICA;265;1186;22.3;237;1193;19.9;2002
ENGENHARIA QUÍMICA;94;753;12.5;88;694;12.7;2002
FÍSICA;34;161;21.1;29;146;19.9;2002
GEOGRAFIA (LICENCIATURA);22;1138;1.9;37;1260;2.9;2002
HISTÓRIA;122;2341;5.2;155;2406;6.4;2002
LETRAS;59;2543;2.3;76;2645;2.9;2002
MATEMÁTICA;66;531;12.4;61;507;12;2002
MEDICINA;5;2181;0.2;4;2146;0.2;2002
MEDICINA VETERINÁRIA;211;2194;9.6;193;2018;9.6;2002
METEOROLOGIA;32;234;13.7;44;231;19;2002
PEDAGOGIA;19;2529;0.8;20;2505;0.8;2002
TECNOLOGIA QUÍMICA (COUROS E TANANTES);0;38;0;0;33;0;2002
