Curso;Matrículas;Reprovações;Percentual;Ano
ADMINISTRAÇÃO;4153;227;5.5;2002
ARTE E MÍDIA;906;10;1.1;2002
CIÊNCIA DA COMPUTAÇÃO;2927;273;9.3;2002
CIÊNCIAS;1879;156;8.3;2002
CIÊNCIAS ECONÔMICAS;2103;252;12;2002
CIÊNCIAS SOCIAIS;1164;53;4.6;2002
DESENHO INDUSTRIAL;1390;76;5.5;2002
DESIGN;7;0;0;2002
DIREITO;5972;10;0.2;2002
ENGENHARIA AGRÍCOLA;900;160;17.8;2002
ENGENHARIA CIVIL;4057;529;13;2002
ENGENHARIA DE MATERIAIS;1663;288;17.3;2002
ENGENHARIA DE MINAS;732;108;14.8;2002
ENGENHARIA ELÉTRICA;5617;608;10.8;2002
ENGENHARIA FLORESTAL;732;72;9.8;2002
ENGENHARIA MECÂNICA;2379;502;21.1;2002
ENGENHARIA QUÍMICA;1447;182;12.6;2002
FÍSICA;307;63;20.5;2002
GEOGRAFIA (LICENCIATURA);2398;59;2.5;2002
HISTÓRIA;4747;277;5.8;2002
LETRAS;5188;135;2.6;2002
MATEMÁTICA;1038;127;12.2;2002
MEDICINA;4327;9;0.2;2002
MEDICINA VETERINÁRIA;4212;404;9.6;2002
METEOROLOGIA;465;76;16.3;2002
PEDAGOGIA;5034;39;0.8;2002
TECNOLOGIA QUÍMICA (COUROS E TANANTES);71;0;0;2002
