Curso;Matrículas;Reprovações;Percentual
ADMINISTRAÇÃO;4624;329;7.1
AGRONOMIA;2606;343;13.2
ARQUITETURA E URBANISMO;1673;64;3.8
ARTE E MÍDIA;981;64;6.5
CIÊNCIA DA COMPUTAÇÃO;6171;843;13.7
CIÊNCIAS BIOLÓGICAS;5545;491;8.9
CIÊNCIAS CONTÁBEIS;1699;112;6.6
CIÊNCIAS ECONÔMICAS;1287;144;11.2
CIÊNCIAS SOCIAIS;1791;105;5.9
COMUNICAÇÃO SOCIAL;1524;58;3.8
DESIGN;1570;136;8.7
DIREITO;10550;40;0.4
ENFERMAGEM;6873;257;3.7
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS;1161;147;12.7
ENGENHARIA AGRÍCOLA;1115;195;17.5
ENGENHARIA AMBIENTAL;2316;339;14.6
ENGENHARIA CIVIL;8412;750;8.9
ENGENHARIA DE ALIMENTOS;2931;435;14.8
ENGENHARIA DE BIOSSISTEMAS;1056;148;14
ENGENHARIA DE MATERIAIS;1508;246;16.3
ENGENHARIA DE MINAS;1471;274;18.6
ENGENHARIA DE PETRÓLEO;1336;263;19.7
ENGENHARIA DE PRODUÇÃO;3431;317;9.2
ENGENHARIA ELÉTRICA;9698;1619;16.7
ENGENHARIA FLORESTAL;1353;102;7.5
ENGENHARIA MECÂNICA;3149;567;18
ENGENHARIA QUÍMICA;2370;260;11
ESTATÍSTICA;259;72;27.8
FARMÁCIA;4365;273;6.3
FILOSOFIA;449;77;17.1
FÍSICA;2053;396;19.3
GEOGRAFIA;3705;229;6.2
HISTÓRIA;4192;245;5.8
INTERDISCIPLINAR EM EDUC. DO CAMPO;852;43;5
LETRAS;4718;227;4.8
MATEMÁTICA;2943;591;20.1
MEDICINA;6198;63;1
MEDICINA VETERINÁRIA;4514;338;7.5
METEOROLOGIA;348;113;32.5
MÚSICA;1011;40;4
NUTRIÇÃO;3377;174;5.2
ODONTOLOGIA;3954;66;1.7
PEDAGOGIA;4514;116;2.6
PSICOLOGIA;2785;33;1.2
QUÍMICA;2248;370;16.5
SERVIÇO SOCIAL;1493;43;2.9
TECNOLOGIA EM AGROECOLOGIA;700;54;7.7
TECNOLOGIA EM GESTÃO PÚBLICA;974;79;8.1
