Curso;Matrículas;Reprovações;Percentual;Ano
ADMINISTRAÇÃO;3673;158;4.3;2004
ARTE E MÍDIA;1013;35;3.5;2004
CIÊNCIA DA COMPUTAÇÃO;2840;291;10.2;2004
CIÊNCIAS;1845;208;11.3;2004
CIÊNCIAS CONTÁBEIS;169;23;13.6;2004
CIÊNCIAS ECONÔMICAS;2059;168;8.2;2004
CIÊNCIAS SOCIAIS;1275;33;2.6;2004
DESENHO INDUSTRIAL;1633;69;4.2;2004
DESIGN;89;4;4.5;2004
DIREITO;6416;16;0.2;2004
ENGENHARIA AGRÍCOLA;916;163;17.8;2004
ENGENHARIA CIVIL;3899;585;15;2004
ENGENHARIA DE MATERIAIS;1662;215;12.9;2004
ENGENHARIA DE MINAS;711;108;15.2;2004
ENGENHARIA ELÉTRICA;6265;698;11.1;2004
ENGENHARIA FLORESTAL;705;49;7;2004
ENGENHARIA MECÂNICA;2509;491;19.6;2004
ENGENHARIA QUÍMICA;1654;171;10.3;2004
FÍSICA;318;54;17;2004
GEOGRAFIA;2610;95;3.6;2004
HISTÓRIA;4902;245;5;2004
LETRAS;4806;205;4.3;2004
MATEMÁTICA;990;158;16;2004
MEDICINA;4390;18;0.4;2004
MEDICINA VETERINÁRIA;3765;217;5.8;2004
METEOROLOGIA;445;68;15.3;2004
PEDAGOGIA;4163;160;3.8;2004
TECNOLOGIA QUÍMICA (COUROS E TANANTES);11;2;18.2;2004
