Curso;Reprovações.1;Matrículas.1;Porcentagem.1;Reprovações.2;Matrículas.2;Porcentagem.2
ADMINISTRAÇÃO;129;2093;6.2;122;2046;6
ARTE E MÍDIA;7;475;1.5;20;552;3.6
CIÊNCIA DA COMPUTAÇÃO;207;1506;13.7;156;1561;10
CIÊNCIAS;77;914;8.4;115;1021;11.3
CIÊNCIAS ECONÔMICAS;137;1083;12.7;141;1070;13.2
CIÊNCIAS SOCIAIS;34;650;5.2;26;587;4.4
DESENHO INDUSTRIAL;16;737;2.2;54;901;6
DESIGN;0;8;0;0;6;0
DIREITO;7;3594;0.2;7;3144;0.2
ENGENHARIA AGRÍCOLA;80;478;16.7;90;441;20.4
ENGENHARIA CIVIL;236;2054;11.5;296;1967;15
ENGENHARIA DE MATERIAIS;97;858;11.3;122;841;14.5
ENGENHARIA DE MINAS;69;430;16;53;377;14.1
ENGENHARIA ELÉTRICA;352;3055;11.5;405;3034;13.3
ENGENHARIA FLORESTAL;23;403;5.7;37;330;11.2
ENGENHARIA MECÂNICA;201;1287;15.6;272;1288;21.1
ENGENHARIA QUÍMICA;96;813;11.8;82;717;11.4
FÍSICA;34;160;21.2;28;127;22
GEOGRAFIA;44;1248;3.5;24;1272;1.9
HISTÓRIA;195;2652;7.4;128;2406;5.3
LETRAS;162;2608;6.2;129;2349;5.5
MATEMÁTICA;70;564;12.4;102;478;21.3
MEDICINA;6;2314;0.3;2;2193;0.1
MEDICINA VETERINÁRIA;174;1767;9.8;116;1686;6.9
METEOROLOGIA;33;247;13.4;38;204;18.6
PEDAGOGIA;57;2432;2.3;36;2233;1.6
TECNOLOGIA QUÍMICA (COUROS E TANANTES);3;23;13;0;15;0
