Curso;Reprovaçoes.1;Matriculas.1;Reprovaçoes.2;Matriculas.2
ADMINISTRAÇÃO;129;2093;122;2046
ARTE E MÍDIA;7;475;20;552
CIÊNCIA DA COMPUTAÇÃO;207;1506;156;1561
CIÊNCIAS;77;914;115;1021
CIÊNCIAS ECONÔMICAS;137;1083;141;1070
CIÊNCIAS SOCIAIS;34;650;26;587
DESENHO INDUSTRIAL;16;737;54;901
DESIGN;0;8;0;6
DIREITO;7;3594;7;3144
ENGENHARIA AGRÍCOLA;80;478;90;441
ENGENHARIA CIVIL;236;2054;296;1967
ENGENHARIA DE MATERIAIS;97;858;122;841
ENGENHARIA DE MINAS;69;430;53;377
ENGENHARIA ELÉTRICA;352;3055;405;3034
ENGENHARIA FLORESTAL;23;403;37;330
ENGENHARIA MECÂNICA;201;1287;272;1288
ENGENHARIA QUÍMICA;96;813;82;717
FÍSICA;34;160;28;127
GEOGRAFIA;44;1248;24;1272
HISTÓRIA;195;2652;128;2406
LETRAS;162;2608;129;2349
MATEMÁTICA;70;564;102;478
MEDICINA;6;2314;2;2193
MEDICINA VETERINÁRIA;174;1767;116;1686
METEOROLOGIA;33;247;38;204
PEDAGOGIA;57;2432;36;2233
TECNOLOGIA QUÍMICA (COUROS E TANANTES);3;23;0;15
