"","Curso","Reprovações.1","Matrículas.1","Porcentagem.1","Reprovações.2","Matrículas.2","Porcentagem.2"
"1","ADMINISTRAÇÃO",220,3005,7.3,241,2878,8.4
"2","AGRONOMIA",166,1448,11.5,241,1356,17.8
"3","ARQUITETURA E URBANISMO",26,608,4.3,46,756,6.1
"4","ARTE E MÍDIA",20,477,4.2,38,600,6.3
"5","CIÊNCIA DA COMPUTAÇÃO",419,2319,18.1,506,2359,21.4
"6","CIÊNCIAS",17,496,3.4,10,374,2.7
"7","CIÊNCIAS BIOLÓGICAS (LIC)",332,3176,10.5,280,3134,8.9
"8","CIÊNCIAS CONTÁBEIS",43,805,5.3,64,920,7
"9","CIÊNCIAS ECONÔMICAS",153,1030,14.9,130,926,14
"10","CIÊNCIAS SOCIAIS",94,1471,6.4,82,1306,6.3
"11","COMUNICAÇÃO SOCIAL",22,782,2.8,8,911,0.9
"12","DESIGN",67,1111,6,78,1124,6.9
"13","DIREITO",9,4172,0.2,15,3907,0.4
"14","ENFERMAGEM",189,5455,3.5,220,5139,4.3
"15","ENG. DE BIOTECNOLOGIA E BIOPROCESSOS",130,913,14.2,116,881,13.2
"16","ENGENHARIA AGRÍCOLA",132,774,17.1,98,601,16.3
"17","ENGENHARIA AMBIENTAL",256,1335,19.2,242,1395,17.3
"18","ENGENHARIA CIVIL",322,2744,11.7,330,2695,12.2
"19","ENGENHARIA DE ALIMENTOS",333,1729,19.3,361,1740,20.7
"20","ENGENHARIA DE BIOSSISTEMAS",152,760,20,99,644,15.4
"21","ENGENHARIA DE MATERIAIS",231,1036,22.3,168,877,19.2
"22","ENGENHARIA DE MINAS",188,918,20.5,121,879,13.8
"23","ENGENHARIA DE PETRÓLEO",154,1062,14.5,121,973,12.4
"24","ENGENHARIA DE PRODUÇÃO",221,1760,12.6,139,1696,8.2
"25","ENGENHARIA ELÉTRICA",731,4395,16.6,728,4628,15.7
"26","ENGENHARIA FLORESTAL",75,993,7.6,46,775,5.9
"27","ENGENHARIA MECÂNICA",299,1589,18.8,274,1647,16.6
"28","ENGENHARIA QUÍMICA",116,1176,9.9,89,1105,8.1
"29","ESTATÍSTICA",54,209,25.8,39,153,25.5
"30","FARMÁCIA",166,2208,7.5,130,2122,6.1
"31","FILOSOFIA",100,308,32.5,39,244,16
"32","FÍSICA",202,732,27.6,132,524,25.2
"33","FÍSICA (BAC)",44,105,41.9,5,67,7.5
"34","GEOGRAFIA",180,2315,7.8,122,2319,5.3
"35","HISTÓRIA",165,2252,7.3,243,2275,10.7
"36","INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)",24,791,3,29,582,5
"37","LETRAS",121,2579,4.7,125,2315,5.4
"38","MATEMÁTICA",260,1428,18.2,174,1167,14.9
"39","MEDICINA",42,3575,1.2,17,3334,0.5
"40","MEDICINA VETERINÁRIA",148,2335,6.3,190,2383,8
"41","METEOROLOGIA",64,165,38.8,39,116,33.6
"42","MÚSICA",5,562,0.9,14,554,2.5
"43","NUTRIÇÃO",110,2069,5.3,108,2114,5.1
"44","ODONTOLOGIA",131,1780,7.4,134,1907,7
"45","PEDAGOGIA",58,2821,2.1,107,2777,3.9
"46","PSICOLOGIA",32,1096,2.9,32,1220,2.6
"47","QUÍMICA (LIC)",187,1181,15.8,155,973,15.9
"48","SERVIÇO SOCIAL",8,910,0.9,35,757,4.6
"49","TECNOLOGIA EM AGROECOLOGIA",27,792,3.4,69,682,10.1
"50","TECNOLOGIA EM GESTÃO PÚBLICA",83,614,13.5,31,404,7.7
