Quantidade de alunos matriculados em 2006.2 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),100,70,170
13301200 - ADMINISTRAÇÃO - N (Campina Grande),51,72,123
13301152 - ADMINISTRAÇÃO (EMPRESA) - D (Campina Grande),89,59,148
13301252 - ADMINISTRAÇÃO (EMPRESA) - N (Campina Grande),19,46,65
13301151 - ADMINISTRAÇÃO (PÚBLICA) - D (Campina Grande),5,1,6
13317100 - ARTE E MÍDIA - D (Campina Grande),59,64,123
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),39,247,286
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M (Cajazeiras),37,18,55
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N (Cajazeiras),40,8,48
21103114 - CIÊNCIAS - FÍSICA (LIC) - M (Cajazeiras),1,3,4
21103214 - CIÊNCIAS - FÍSICA (LIC) - N (Cajazeiras),0,1,1
21103100 - CIÊNCIAS - M (Cajazeiras),21,32,53
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M (Cajazeiras),10,20,30
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N (Cajazeiras),13,27,40
21103200 - CIÊNCIAS - N (Cajazeiras),33,42,75
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M (Cajazeiras),15,14,29
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N (Cajazeiras),12,7,19
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),28,11,39
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),26,12,38
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),204,206,410
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),78,73,151
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),88,113,201
13305100 - CIÊNCIAS SOCIAIS - D (Campina Grande),37,26,63
13305200 - CIÊNCIAS SOCIAIS - N (Campina Grande),33,13,46
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),13,8,21
13305250 - CIÊNCIAS SOCIAIS (BAC) - N (Campina Grande),4,4,8
13305110 - CIÊNCIAS SOCIAIS (LIC) - D (Campina Grande),38,14,52
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),44,24,68
11104100 - DESENHO INDUSTRIAL - D (Campina Grande),73,62,135
11104120 - DESIGN - D (Campina Grande),19,14,33
31350100 - DIREITO - M (Sousa),121,123,244
31350200 - DIREITO - N (Sousa),95,200,295
31350300 - DIREITO - V (Sousa),70,98,168
21204100 - ENFERMAGEM - D (Cajazeiras),77,19,96
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),57,64,121
15122100 - ENGENHARIA CIVIL - D (Campina Grande),114,295,409
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),120,97,217
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),18,81,99
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),18,37,55
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),26,212,238
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D (Campina ,1,31,32
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D (Campina ,21,117,138
,FEMININO,MASCULINO,Total
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) - (Campina ,12,40,52
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO ,9,84,93
14123116 - ENGENHARIA ELÉTRICA(ELETROTÉ/CONT AUTOM) ,1,1,2
41403100 - ENGENHARIA FLORESTAL - D (Patos),37,57,94
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),13,268,281
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),87,69,156
11105150 - FÍSICA (BAC) - D (Campina Grande),15,37,52
51105110 - FÍSICA (LIC) - D (Cuité),4,15,19
21316110 - GEOGRAFIA (LICENCIATURA) - M (Cajazeiras),122,55,177
21316210 - GEOGRAFIA (LICENCIATURA) - N (Cajazeiras),90,67,157
13309100 - HISTÓRIA - D (Campina Grande),29,25,54
13309200 - HISTÓRIA - N (Campina Grande),20,26,46
13309150 - HISTÓRIA (BAC) - M (Campina Grande),14,12,26
13309212 - HISTÓRIA (BAC) - N (Campina Grande),2,4,6
13309250 - HISTÓRIA (BAC) - N (Campina Grande),4,0,4
13309110 - HISTÓRIA (LIC) - M (Campina Grande),54,32,86
21309110 - HISTÓRIA (LIC) - M (Cajazeiras),95,53,148
13309210 - HISTÓRIA (LIC) - N (Campina Grande),10,13,23
13309211 - HISTÓRIA (LIC) - N (Campina Grande),66,35,101
21309210 - HISTÓRIA (LIC) - N (Cajazeiras),132,73,205
13310100 - LETRAS - D (Campina Grande),32,18,50
13310112 - LETRAS - LÍNGUA E LIT. FRANCESA - D (Campina Grande),3,0,3
13310212 - LETRAS - LÍNGUA E LIT. FRANCESA - N (Campina Grande),1,0,1
13310113 - LETRAS - LÍNGUA E LIT. INGLESA - D (Campina Grande),18,6,24
13310213 - LETRAS - LÍNGUA E LIT. INGLESA - N (Campina Grande),4,2,6
13310111 - LETRAS - LÍNGUA E LIT. PORTUGUESA - D (Campina Grande),59,15,74
13310211 - LETRAS - LÍNGUA E LIT. PORTUGUESA - N (Campina Grande),79,14,93
21310111 - LETRAS - LÍNGUA VERNÁCULA (LIC) - M (Cajazeiras),79,11,90
21310211 - LETRAS - LÍNGUA VERNÁCULA (LIC) - N (Cajazeiras),98,13,111
21310112 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - M (Cajazeiras),42,11,53
21310212 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - N (Cajazeiras),34,10,44
21310100 - LETRAS - M (Cajazeiras),23,6,29
13310200 - LETRAS - N (Campina Grande),42,12,54
21310200 - LETRAS - N (Cajazeiras),32,8,40
11107100 - MATEMÁTICA - D (Campina Grande),20,26,46
11107150 - MATEMÁTICA (BAC) - D (Campina Grande),3,6,9
11107110 - MATEMÁTICA (LIC) - D (Campina Grande),15,23,38
51107110 - MATEMÁTICA (LIC) - D (Cuité),8,12,20
11107210 - MATEMÁTICA (LIC) - N (Campina Grande),23,55,78
12205100 - MEDICINA (Campina Grande),215,242,457
41410100 - MEDICINA VETERINÁRIA - D (Patos),117,212,329
15108100 - METEOROLOGIA - D (Campina Grande),30,41,71
13312110 - PEDAGOGIA (LIC) - M (Campina Grande),37,1,38
,FEMININO,MASCULINO,Total
13312210 - PEDAGOGIA (LIC) - N (Campina Grande),44,2,46
21312211 - PEDAGOGIA (LIC PLENA) ADM. ESCOLAR - N (Cajazeiras),5,1,6
21312212 - PEDAGOGIA (LIC PLENA) SUPERV.ESCOLAR - N (Cajazeiras),11,4,15
21312110 - PEDAGOGIA (LICENCIATURA) - M (Cajazeiras),39,2,41
21312210 - PEDAGOGIA (LICENCIATURA) - N (Cajazeiras),79,4,83
13312211 - PEDAGOGIA(LIC PL/MAG SÉR INIC 1ºGRAU)-N (Campina ,41,5,46
13312113 - PEDAGOGIA(LIC.PL/EDUC.EXC.DEF.AUDIOC.)-M (Campina ,9,0,9
21312112 - PEDAGOGIA(LIC.PLENA) SUPERV.ESCOLAR - M (Cajazeiras),8,1,9
13312112 - PEDAGOGIA(LIC.PL/MAG.MAT.PED.2.GRAU)-M (Campina ,3,0,3
13312111 - PEDAGOGIA(LIC.PL/MAG.SÉR.INIC.1.GRAU)-M (Campina ,76,3,79
21312113 - PEDAGOGIA(L.P)DOC.SÉR.INIC.ENS.FUNDAM.-M (Cajazeiras),87,6,93
21312213 - PEDAGOGIA(L.P)DOC.SÉR.INIC.ENS.FUNDAM.-N (Cajazeiras),94,2,96
51109110 - QUÍMICA (LIC) - D (Cuité),23,12,35
Total,4316,4437,8753
