Taxa de reprovação em um ano por curso e semestre,,,,,,
"As matrículas de um curso são as matrículas realizadas pelos alunos do curso em diciplinas de qualquer unidade acadêmica.
As matrículas incluem apenas aquelas cursadas até o final. Matrículas ainda em curso, trancadas, canceladas
ou quando o aluno abandona e é reprovado por faltas não estão incluídas.",,,,,,
,2008.1,,,2008.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13301100 - ADMINISTRAÇÃO - D,59,1084,5%,73,1171,6%
13301200 - ADMINISTRAÇÃO - N,10,434,2%,53,594,9%
13301152 - ADMINISTRAÇÃO (EMPRESA) - D,9,329,3%,3,215,1%
13301252 - ADMINISTRAÇÃO (EMPRESA) - N,1,110,1%,1,55,2%
13301151 - ADMINISTRAÇÃO (PÚBLICA) - D,0,7,0%,0,10,0%
91402100 - AGRONOMIA - D,65,780,8%,109,760,14%
13317100 - ARTE E MÍDIA - D,11,489,2%,11,540,2%
14102100 - CIÊNCIA DA COMPUTAÇÃO - D,146,1657,9%,190,1765,11%
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M,18,231,8%,9,196,5%
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N,8,173,5%,15,181,8%
21103114 - CIÊNCIAS - FÍSICA (LIC) - M,0,10,0%,0,5,0%
21103214 - CIÊNCIAS - FÍSICA (LIC) - N,0,5,0%,0,7,0%
21103100 - CIÊNCIAS - M,31,152,20%,18,104,17%
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M,14,175,8%,10,190,5%
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N,7,178,4%,16,225,7%
21103200 - CIÊNCIAS - N,25,130,19%,40,159,25%
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M,15,120,12%,13,119,11%
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N,2,40,5%,3,41,7%
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D,44,256,17%,62,476,13%
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N,9,269,3%,31,441,7%
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N,23,267,9%,27,257,11%
31360200 - CIÊNCIAS CONTÁBEIS - N,97,1600,6%,151,1639,9%
13304100 - CIÊNCIAS ECONÔMICAS - M,54,624,9%,64,534,12%
13304200 - CIÊNCIAS ECONÔMICAS - N,58,418,14%,42,436,10%
,2008.1,,,2008.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13305100 - CIÊNCIAS SOCIAIS - D,23,105,22%,7,65,11%
13305200 - CIÊNCIAS SOCIAIS - N,12,68,18%,12,105,11%
13305150 - CIÊNCIAS SOCIAIS (BAC) - D,3,110,3%,2,130,2%
13305250 - CIÊNCIAS SOCIAIS (BAC) - N,2,57,4%,1,88,1%
13305110 - CIÊNCIAS SOCIAIS (LIC) - D,18,297,6%,14,282,5%
13305210 - CIÊNCIAS SOCIAIS (LIC) - N,11,268,4%,11,279,4%
11104100 - DESENHO INDUSTRIAL - D,41,446,9%,48,396,12%
11104120 - DESIGN - D,27,403,7%,41,471,9%
31350100 - DIREITO - M,2,1121,0%,2,1262,0%
31350200 - DIREITO - N,7,1279,1%,3,1007,0%
31350300 - DIREITO - V,7,1079,1%,2,1272,0%
21204100 - ENFERMAGEM - D,1,1192,0%,3,1313,0%
51204100 - ENFERMAGEM - D,4,571,1%,46,857,5%
15121100 - ENGENHARIA AGRÍCOLA - D,106,551,19%,89,504,18%
91130100 - ENGENHARIA AMBIENTAL - D,32,409,8%,103,613,17%
15122100 - ENGENHARIA CIVIL - D,312,1828,17%,283,1902,15%
91125100 - ENGENHARIA DE ALIMENTOS - D,33,401,8%,109,553,20%
11126100 - ENGENHARIA DE MATERIAIS - D,175,906,19%,140,873,16%
15127100 - ENGENHARIA DE MINAS - D,100,486,21%,90,511,18%
11133100 - ENGENHARIA DE PRODUÇÃO - D,71,735,10%,103,656,16%
14123100 - ENGENHARIA ELÉTRICA,307,1267,24%,417,1559,27%
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D,9,199,5%,10,218,5%
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D,56,930,6%,60,968,6%
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) -,10,260,4%,11,271,4%
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO,15,501,3%,26,500,5%
14123116 - ENGENHARIA ELÉTRICA(ELETROTÉ/CONT AUTOM),0,8,0%,0,7,0%
41403100 - ENGENHARIA FLORESTAL - D,95,754,13%,84,729,12%
11124100 - ENGENHARIA MECÂNICA - D,238,1364,17%,252,1433,18%
,2008.1,,,2008.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
11128100 - ENGENHARIA QUÍMICA - D,76,888,9%,83,852,10%
51203100 - FARMÁCIA - D,12,542,2%,57,763,7%
11105150 - FÍSICA (BAC) - D,43,186,23%,39,171,23%
51105110 - FÍSICA (LIC) - D,21,162,13%,25,124,20%
51105210 - FÍSICA (LIC) - N,6,57,11%,6,58,10%
21316110 - GEOGRAFIA (LICENCIATURA) - M,75,543,14%,73,744,10%
21316210 - GEOGRAFIA (LICENCIATURA) - N,67,599,11%,55,568,10%
13309100 - HISTÓRIA - D,25,120,21%,12,88,14%
13309200 - HISTÓRIA - N,9,57,16%,10,74,14%
13309150 - HISTÓRIA (BAC) - M,0,113,0%,3,110,3%
13309212 - HISTÓRIA (BAC) - N,0,17,0%,1,19,5%
13309250 - HISTÓRIA (BAC) - N,0,31,0%,1,98,1%
13309110 - HISTÓRIA (LIC) - M,3,270,1%,6,251,2%
21309110 - HISTÓRIA (LIC) - M,63,820,8%,92,556,17%
13309210 - HISTÓRIA (LIC) - N,3,202,1%,8,268,3%
13309211 - HISTÓRIA (LIC) - N,12,241,5%,11,190,6%
21309210 - HISTÓRIA (LIC) - N,51,660,8%,125,824,15%
