Curso;Matrículas.13;Reprovações.13;Percentual.13
ADMINISTRAÇÃO;461;5883;7.8
AGRONOMIA;407;2804;14.5
ARQUITETURA E URBANISMO;72;1364;5.3
ARTE E MÍDIA;58;1077;5.4
CIÊNCIA DA COMPUTAÇÃO;925;4678;19.8
CIÊNCIAS;27;870;3.1
CIÊNCIAS BIOLÓGICAS;612;6310;9.7
CIÊNCIAS CONTÁBEIS;107;1725;6.2
CIÊNCIAS ECONÔMICAS;283;1956;14.5
CIÊNCIAS SOCIAIS;176;2777;6.3
COMUNICAÇÃO SOCIAL;30;1693;1.8
DESIGN;145;2235;6.5
DIREITO;24;8079;0.3
ENFERMAGEM;409;10594;3.9
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS;246;1794;13.7
ENGENHARIA AGRÍCOLA;230;1375;16.7
ENGENHARIA AMBIENTAL;498;2730;18.2
ENGENHARIA CIVIL;652;5439;12
ENGENHARIA DE ALIMENTOS;694;3469;20
ENGENHARIA DE BIOSSISTEMAS;251;1404;17.9
ENGENHARIA DE MATERIAIS;399;1913;20.9
ENGENHARIA DE MINAS;309;1797;17.2
ENGENHARIA DE PETRÓLEO;275;2035;13.5
ENGENHARIA DE PRODUÇÃO;360;3456;10.4
ENGENHARIA ELÉTRICA;1459;9023;16.2
ENGENHARIA FLORESTAL;121;1768;6.8
ENGENHARIA MECÂNICA;573;3236;17.7
ENGENHARIA QUÍMICA;205;2281;9
ESTATÍSTICA;93;362;25.7
FARMÁCIA;296;4330;6.8
FILOSOFIA;139;552;25.2
FÍSICA;383;1428;26.8
GEOGRAFIA;302;4634;6.5
HISTÓRIA;408;4527;9
INTERDISCIPLINAR EM EDUC. DO CAMPO;53;1373;3.9
LETRAS;246;4894;5
MATEMÁTICA;434;2595;16.7
MEDICINA;59;6909;0.9
MEDICINA VETERINÁRIA;338;4718;7.2
METEOROLOGIA;103;281;36.7
MÚSICA;19;1116;1.7
NUTRIÇÃO;218;4183;5.2
ODONTOLOGIA;265;3687;7.2
PEDAGOGIA;165;5598;2.9
PSICOLOGIA;64;2316;2.8
QUÍMICA;342;2154;15.9
SERVIÇO SOCIAL;43;1667;2.6
TECNOLOGIA EM AGROECOLOGIA;96;1474;6.5
TECNOLOGIA EM GESTÃO PÚBLICA;114;1018;11.2
