Período;Feminino;Masculino;Total
2002-1;3658;3925;7583
2002-2;3710;3995;7705
2003-1;3931;4248;8179
2003-2;3691;4124;7815
2004-1;3707;4217;7924
2004-2;3724;4268;7992
2005-1;3905;4312;8217
2005-2;3916;4268;8184
2006-1;3996;4270;8266
2006-2;4316;4437;8753
2007-1;4415;4433;8848
2007-2;4646;4657;9303
2008-1;4942;4800;9742
2008-2;5015;4657;9672
2009-1;5458;5023;10481
2009-2;5855;5195;11050
2010-1;6664;5863;12527
2010-2;6907;5895;12802
2011-1;7733;6518;14251
2011-2;7791;6490;14281
2012-1;8486;7077;15563
2012-2;8047;6706;14753
2013-1;8554;7239;15793
2013-2;8346;7044;15390
2014-1;8613;7427;16040
2014-2;8208;7087;15295
2015-1;8112;7438;15550
2015-2;7592;7040;14632
2016-1;7584;7413;14997
2016-2;7262;7108;14370
2017-1;7498;7533;15031
2017-2;7126;7190;14316
2018-1;7438;7632;15070
2018-2;7158;7341;14499
2019-1;7602;7849;15451
2019-2;7524;7575;15099
2020-1;8169;8173;16342
