Curso;Matrículas.02;Reprovações.02;Percentual.02;Matrículas.03;Reprovações.03;Percentual.03;Matrículas.04;Reprovações.04;Percentual.04;Matrículas.05;Reprovações.05;Percentual.05;Matrículas.06;Reprovações.06;Percentual.06;Matrículas.07;Reprovações.07;Percentual.07;Matrículas.08;Reprovações.08;Percentual.08;Matrículas.09;Reprovações.09;Percentual.09;Matrículas.10;Reprovações.10;Percentual.10;Matrículas.11;Reprovações.11;Percentual.11;Matrículas.12;Reprovações.12;Percentual.12;Matrículas.13;Reprovações.13;Percentual.13;Matrículas.14;Reprovações.14;Percentual.14;Matrículas.15;Reprovações.15;Percentual.15;Matrículas.16;Reprovações.16;Percentual.16;Matrículas.17;Reprovações.17;Percentual.17;Matrículas.18;Reprovações.18;Percentual.18;Matrículas.19;Reprovações.19;Percentual.19
ADMINISTRAÇÃO;4153;227;5.5;4139;251;6.1;3673;158;4.3;3542;221;6.2;3789;174;4.6;3760;218;5.8;4009;209;5.2;4938;254;5.1;5494;374;6.8;6111;445;7.3;6170;431;7;5883;461;7.8;5516;347;6.3;4870;371;7.6;4599;320;7;4624;329;7.1;4715;309;6.6;4709;450;9.6
ARTE E MÍDIA;906;10;1.1;1027;27;2.6;1013;35;3.5;1097;22;2;1034;54;5.2;1009;27;2.7;1029;22;2.1;965;20;2.1;1024;10;1;1113;56;5;1080;28;2.6;1077;58;5.4;1195;101;8.5;1135;52;4.6;1102;63;5.7;981;64;6.5;974;55;5.6;957;86;9
CIÊNCIA DA COMPUTAÇÃO;2927;273;9.3;3067;363;11.8;2840;291;10.2;3026;298;9.8;2847;243;8.5;3054;280;9.2;3422;336;9.8;3865;622;16.1;4371;732;16.7;4976;995;20;4828;1018;21.1;4678;925;19.8;4814;1049;21.8;5317;888;16.7;5813;933;16.1;6171;843;13.7;6168;654;10.6;6560;690;10.5
CIÊNCIAS;1879;156;8.3;1935;192;9.9;1845;208;11.3;2281;148;6.5;2365;180;7.6;2486;241;9.7;2441;244;10;2227;272;12.2;2272;310;13.6;1907;208;10.9;1285;86;6.7;870;27;3.1;355;9;2.5;77;1;1.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CIÊNCIAS ECONÔMICAS;2103;252;12;2153;278;12.9;2059;168;8.2;2186;220;10.1;2259;191;8.5;2053;126;6.1;2012;218;10.8;1992;208;10.4;2156;176;8.2;2172;240;11;2108;251;11.9;1956;283;14.5;1732;225;13;1579;185;11.7;1437;191;13.3;1287;144;11.2;1424;146;10.3;1522;164;10.8
CIÊNCIAS SOCIAIS;1164;53;4.6;1237;60;4.9;1275;33;2.6;1479;98;6.6;1554;79;5.1;1686;79;4.7;1854;116;6.3;2081;92;4.4;2497;115;4.6;3083;297;9.6;2885;264;9.2;2777;176;6.3;2492;197;7.9;2086;146;7;1858;106;5.7;1791;105;5.9;1925;114;5.9;2133;162;7.6
DESENHO INDUSTRIAL;1390;76;5.5;1638;70;4.3;1633;69;4.2;1592;54;3.4;1361;94;6.9;1068;67;6.3;842;89;10.6;600;67;11.2;322;45;14;87;31;35.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
DESIGN;7;0;0;14;0;0;89;4;4.5;186;12;6.5;381;30;7.9;586;41;7;874;68;7.8;1351;97;7.2;1874;134;7.2;2057;216;10.5;2125;173;8.1;2235;145;6.5;1895;150;7.9;1815;157;8.7;1668;145;8.7;1570;136;8.7;1461;98;6.7;1537;62;4
DIREITO;5972;10;0.2;6738;14;0.2;6416;16;0.2;6796;28;0.4;7450;19;0.3;7498;16;0.2;7020;23;0.3;7714;33;0.4;7809;32;0.4;7791;22;0.3;7982;51;0.6;8079;24;0.3;8256;59;0.7;8633;61;0.7;10456;138;1.3;10550;40;0.4;10565;79;0.7;10640;80;0.8
ENGENHARIA AGRÍCOLA;900;160;17.8;919;170;18.5;916;163;17.8;907;174;19.2;880;183;20.8;747;154;20.6;1055;195;18.5;1218;238;19.5;1272;220;17.3;1425;250;17.5;1516;220;14.5;1375;230;16.7;1283;214;16.7;1107;172;15.5;1031;145;14.1;1115;195;17.5;1046;159;15.2;1120;191;17.1
