"","Curso","Reprovações.1","Matrículas.1","Porcentagem.1","Reprovações.2","Matrículas.2","Porcentagem.2"
"1","ADMINISTRAÇÃO",87,2067,4.2,140,2086,6.7
"2","ARTE E MÍDIA",0,397,0,10,509,2
"3","CIÊNCIA DA COMPUTAÇÃO",107,1421,7.5,166,1506,11
"4","CIÊNCIAS",73,805,9.1,83,1074,7.7
"5","CIÊNCIAS ECONÔMICAS",108,1057,10.2,144,1046,13.8
"6","CIÊNCIAS SOCIAIS",26,554,4.7,27,610,4.4
"7","DESENHO INDUSTRIAL",38,699,5.4,38,691,5.5
"8","DESIGN",0,0,NA,0,7,0
"9","DIREITO",3,2980,0.1,7,2992,0.2
"10","ENGENHARIA AGRÍCOLA",80,451,17.7,80,449,17.8
"11","ENGENHARIA CIVIL",265,2058,12.9,264,1999,13.2
"12","ENGENHARIA DE MATERIAIS",144,807,17.8,144,856,16.8
"13","ENGENHARIA DE MINAS",54,358,15.1,54,374,14.4
"14","ENGENHARIA ELÉTRICA",274,2746,10,334,2871,11.6
"15","ENGENHARIA FLORESTAL",44,368,12,28,364,7.7
"16","ENGENHARIA MECÂNICA",265,1186,22.3,237,1193,19.9
"17","ENGENHARIA QUÍMICA",94,753,12.5,88,694,12.7
"18","FÍSICA",34,161,21.1,29,146,19.9
"19","GEOGRAFIA (LICENCIATURA)",22,1138,1.9,37,1260,2.9
"20","HISTÓRIA",122,2341,5.2,155,2406,6.4
"21","LETRAS",59,2543,2.3,76,2645,2.9
"22","MATEMÁTICA",66,531,12.4,61,507,12
"23","MEDICINA",5,2181,0.2,4,2146,0.2
"24","MEDICINA VETERINÁRIA",211,2194,9.6,193,2018,9.6
"25","METEOROLOGIA",32,234,13.7,44,231,19
"26","PEDAGOGIA",19,2529,0.8,20,2505,0.8
"27","TECNOLOGIA QUÍMICA (COUROS E TANANTES)",0,38,0,0,33,0
