Taxa de reprovação em um ano por curso e semestre,,,,,,
"As matrículas de um curso são as matrículas realizadas pelos alunos do curso em diciplinas de qualquer unidade acadêmica.
As matrículas incluem apenas aquelas cursadas até o final. Matrículas ainda em curso, trancadas, canceladas
ou quando o aluno abandona e é reprovado por faltas não estão incluídas.",,,,,,
,2002.1,,,2002.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13301100 - ADMINISTRAÇÃO - D,38,318,12%,34,319,11%
13301200 - ADMINISTRAÇÃO - N,20,108,19%,37,185,20%
13301152 - ADMINISTRAÇÃO (EMPRESA) - D,18,1270,1%,48,1127,4%
13301252 - ADMINISTRAÇÃO (EMPRESA) - N,11,343,3%,19,437,4%
13301151 - ADMINISTRAÇÃO (PÚBLICA) - D,0,20,0%,1,9,11%
13301251 - ADMINISTRAÇÃO (PÚBLICA) - N,0,8,0%,1,9,11%
13317100 - ARTE E MÍDIA - D,0,397,0%,10,509,2%
14102100 - CIÊNCIA DA COMPUTAÇÃO - D,107,1421,8%,166,1506,11%
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M,13,141,9%,17,175,10%
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N,6,90,7%,10,155,6%
21103114 - CIÊNCIAS - FÍSICA (LIC) - M,1,22,5%,2,18,11%
21103214 - CIÊNCIAS - FÍSICA (LIC) - N,0,4,0%,0,5,0%
21103100 - CIÊNCIAS - M,17,143,12%,20,163,12%
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M,3,127,2%,6,144,4%
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N,4,27,15%,1,59,2%
21103200 - CIÊNCIAS - N,24,150,16%,22,224,10%
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M,5,83,6%,2,76,3%
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N,0,18,0%,3,55,5%
13304100 - CIÊNCIAS ECONÔMICAS - M,69,716,10%,49,556,9%
13304200 - CIÊNCIAS ECONÔMICAS - N,39,341,11%,95,490,19%
13305100 - CIÊNCIAS SOCIAIS - D,7,99,7%,6,88,7%
13305200 - CIÊNCIAS SOCIAIS - N,8,37,22%,10,75,13%
13305150 - CIÊNCIAS SOCIAIS (BAC) - D,0,95,0%,1,66,2%
13305250 - CIÊNCIAS SOCIAIS (BAC) - N,0,37,0%,0,37,0%
,2002.1,,,2002.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13305110 - CIÊNCIAS SOCIAIS (LIC) - D,8,225,4%,2,219,1%
13305210 - CIÊNCIAS SOCIAIS (LIC) - N,3,61,5%,8,125,6%
11104100 - DESENHO INDUSTRIAL - D,38,699,5%,38,691,5%
11104120 - DESIGN - D,0,0,0%,0,7,0%
31350100 - DIREITO - M,1,1587,0%,1,1644,0%
31350200 - DIREITO - N,2,1393,0%,6,1348,0%
15121100 - ENGENHARIA AGRÍCOLA - D,80,451,18%,80,449,18%
15122100 - ENGENHARIA CIVIL - D,265,2058,13%,264,1999,13%
11126100 - ENGENHARIA DE MATERIAIS - D,144,807,18%,144,856,17%
15127100 - ENGENHARIA DE MINAS - D,54,358,15%,54,374,14%
14123100 - ENGENHARIA ELÉTRICA,159,790,20%,186,794,23%
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D,27,277,10%,33,310,11%
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D,46,595,8%,58,693,8%
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) -,16,440,4%,30,347,9%
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO,26,644,4%,27,721,4%
14123116 - ENGENHARIA ELÉTRICA(ELETROTÉ/CONT AUTOM),0,0,0%,0,6,0%
41403100 - ENGENHARIA FLORESTAL - D,44,368,12%,28,364,8%
11124100 - ENGENHARIA MECÂNICA - D,265,1186,22%,237,1193,20%
