VAGAS OCIOSAS POR CURSO,,,,,,,,,
"Vagas ociosas = (ingressantes no ano) x (duração padrão) x (1 + fator de retenção) - (alunos ativos)
* valores fornecidos pela Sesu",,,,,,,,,
Código,Curso,Campus,Alunos ativos,Vagas 1º semestre,Vagas 2º semestre,Área*,Duração padrão*,Fator de retenção*,Vagas ociosas
13301100,ADMINISTRAÇÃO - D,Campina Grande,262,40,40,Ciências Sociais Aplicadas,4,"0,1200",96
13301200,ADMINISTRAÇÃO - N,Campina Grande,143,0,40,Ciências Sociais Aplicadas,4,"0,1200",36
31301200,ADMINISTRAÇÃO - N,Sousa,218,55,0,Ciências Sociais Aplicadas,4,"0,1200",28
91402100,AGRONOMIA - D,Pombal,299,45,45,Ciências Agrárias,5,"0,0500",174
15101100,ARQUITETURA E URBANISMO - D,Campina Grande,178,0,40,Arquitetura/Urbanismo,4,"0,1200",1
13317100,ARTE E MÍDIA - D,Campina Grande,108,0,35,Artes,4,"0,1150",48
14102100,CIÊNCIA DA COMPUTAÇÃO - D,Campina Grande,787,90,90,Ciências Exatas – Computação,4,"0,1325",28
41201110,CIÊNCIAS BIOLÓGICAS (LIC) - D,Patos,145,45,0,Ciências Biológicas,4,"0,1250",58
51201110,CIÊNCIAS BIOLÓGICAS (LIC) - D,Cuité,115,40,0,Ciências Biológicas,4,"0,1250",65
21201110,CIÊNCIAS BIOLÓGICAS (LIC) - M,Cajazeiras,145,40,0,Ciências Biológicas,4,"0,1250",35
41201210,CIÊNCIAS BIOLÓGICAS (LIC) - N,Patos,140,0,45,Ciências Biológicas,4,"0,1250",62
51201210,CIÊNCIAS BIOLÓGICAS (LIC) - N,Cuité,151,40,0,Ciências Biológicas,4,"0,1250",29
31360200,CIÊNCIAS CONTÁBEIS - N,Sousa,249,55,55,Ciências Sociais Aplicadas,4,"0,1200",244
13304100,CIÊNCIAS ECONÔMICAS - M,Campina Grande,135,45,0,Ciências Sociais Aplicadas,4,"0,1200",67
13304200,CIÊNCIAS ECONÔMICAS - N,Campina Grande,87,0,45,Ciências Sociais Aplicadas,4,"0,1200",115
13305150,CIÊNCIAS SOCIAIS (BAC) - D,Campina Grande,76,30,0,Ciências Humanas,4,"0,1000",56
13305210,CIÊNCIAS SOCIAIS (LIC) - N,Campina Grande,100,0,40,Ciências Humanas,4,"0,1000",76
71305210,CIÊNCIAS SOCIAIS (LIC) - N,Sumé,150,50,0,Ciências Humanas,4,"0,1000",70
13306100,COMUNICAÇÃO SOCIAL - D,Campina Grande,107,0,40,Ciências Sociais Aplicadas,4,"0,1200",72
13306200,COMUNICAÇÃO SOCIAL - N,Campina Grande,102,0,40,Ciências Sociais Aplicadas,4,"0,1200",77
11104120,DESIGN - D,Campina Grande,183,30,30,Ciências Exatas e da Terra,4,"0,1325",89
31350100,DIREITO - M,Sousa,310,60,0,Direito,5,"0,1200",26
31350200,DIREITO - N,Sousa,340,60,0,Direito,5,"0,1200",0
31350300,DIREITO - V,Sousa,323,60,0,Direito,5,"0,1200",13
12204100,ENFERMAGEM - D,Campina Grande,198,30,30,"Enfermagem, Fisioterapia, Fonoaudiologia e Educação Física",5,"0,0660",122
21204100,ENFERMAGEM - D,Cajazeiras,225,30,30,"Enfermagem, Fisioterapia, Fonoaudiologia e Educação Física",5,"0,0660",95
51204100,ENFERMAGEM - D,Cuité,249,30,30,"Enfermagem, Fisioterapia, Fonoaudiologia e Educação Física",5,"0,0660",71
71132100,ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D,Sumé,131,50,0,Engenharias,5,"0,0820",140
15121100,ENGENHARIA AGRÍCOLA - D,Campina Grande,143,50,0,Engenharias,5,"0,0820",128
91130100,ENGENHARIA AMBIENTAL - D,Pombal,195,45,45,Engenharias,5,"0,0820",292
15122100,ENGENHARIA CIVIL - D,Campina Grande,494,60,60,Engenharias,5,"0,0820",155
91122100,ENGENHARIA CIVIL - D,Pombal,365,45,45,Engenharias,5,"0,0820",122
15125100,ENGENHARIA DE ALIMENTOS - D,Campina Grande,121,45,0,Engenharias,5,"0,0820",122
91125100,ENGENHARIA DE ALIMENTOS - D,Pombal,179,45,45,Engenharias,5,"0,0820",308
71131100,ENGENHARIA DE BIOSSISTEMAS - D,Sumé,114,50,0,Engenharias,5,"0,0820",156
11126100,ENGENHARIA DE MATERIAIS - D,Campina Grande,177,60,0,Engenharias,5,"0,0820",148
15127100,ENGENHARIA DE MINAS - D,Campina Grande,127,40,0,Engenharias,5,"0,0820",89
11135100,ENGENHARIA DE PETRÓLEO - D,Campina Grande,141,50,0,Engenharias,5,"0,0820",130
11133100,ENGENHARIA DE PRODUÇÃO - D,Campina Grande,178,40,0,Engenharias,5,"0,0820",38
71133100,ENGENHARIA DE PRODUÇÃO - D,Sumé,174,50,0,Engenharias,5,"0,0820",96
14123100,ENGENHARIA ELÉTRICA,Campina Grande,866,115,110,Engenharias,5,"0,0820",351
41403100,ENGENHARIA FLORESTAL - D,Patos,127,40,0,Engenharias,5,"0,0820",89
